run_id,activation,hidden_size,n_params,train_loss,train_acc,val_loss,val_acc,elapsed_s
relu_h4,relu,4,17,0.21148931980133057,0.9222222566604614,0.24466831982135773,0.8666667342185974,3.31
relu_h16,relu,16,65,0.22099919617176056,0.9166666865348816,0.26038914918899536,0.8583333492279053,3.64
tanh_h16,tanh,16,65,0.26048770546913147,0.9083333611488342,0.3082086145877838,0.8500000238418579,3.25
sigmoid_h16,sigmoid,16,65,0.28067806363105774,0.8833333253860474,0.34452223777770996,0.8333333730697632,3.44
tanh_h4,tanh,4,17,0.2811830937862396,0.8861111402511597,0.3445446789264679,0.8333333730697632,3.44
sigmoid_h4,sigmoid,4,17,0.2834877371788025,0.8833333253860474,0.35186609625816345,0.8333333730697632,3.33
